trialname,simulation_number,max_simulation_time,outcome,endpoint_x,endpoint_y,bounces,simulation_time
contain_sc1_var_l1_complex_l3_RIGHT,104,60,REDGOAL,457.9671930793073,301.61867412422794,14,11.60000000000003
contain_sc1_var_l1_complex_l3_RIGHT,105,60,REDGOAL,456.83917649517986,329.56717414441056,22,19.800000000000146
contain_sc1_var_l1_complex_l3_RIGHT,106,60,REDGOAL,455.1760905936895,242.11416002022096,6,7.349999999999982
contain_sc1_var_l1_complex_l3_RIGHT,107,60,REDGOAL,459.90225036152015,314.3157675524432,1,1.4500000000000006
contain_sc1_var_l1_complex_l3_RIGHT,108,60,REDGOAL,461.5671319567805,292.3152794829632,7,7.4499999999999815
contain_sc1_var_l1_complex_l3_RIGHT,109,60,REDGOAL,455.1401240717838,253.97245908790555,28,30.250000000000295
contain_sc1_var_l1_complex_l3_RIGHT,110,60,REDGOAL,458.884642553956,243.50594806253798,12,9.700000000000003
contain_sc1_var_l1_complex_l3_RIGHT,111,60,REDGOAL,458.60762369418603,240.52773051960995,6,6.249999999999986
contain_sc1_var_l1_complex_l3_RIGHT,112,60,REDGOAL,450.2333213495354,261.1836321716961,9,9.299999999999997
contain_sc1_var_l1_complex_l3_RIGHT,113,60,REDGOAL,452.2836847387748,349.4744931723104,2,2.499999999999999
contain_sc1_var_l1_complex_l3_RIGHT,114,60,REDGOAL,454.45517318907645,321.51124059440923,43,30.200000000000294
contain_sc1_var_l1_complex_l3_RIGHT,115,60,REDGOAL,455.53840400812174,277.42738459988914,13,10.550000000000015
contain_sc1_var_l1_complex_l3_RIGHT,116,60,REDGOAL,460.48841805439207,277.5931702061683,3,2.9499999999999975
contain_sc1_var_l1_complex_l3_RIGHT,117,60,REDGOAL,452.6059811021571,240.41890530199973,13,12.600000000000044
contain_sc1_var_l1_complex_l3_RIGHT,118,60,REDGOAL,456.28866130599766,355.3802780484313,6,4.499999999999992
contain_sc1_var_l1_complex_l3_RIGHT,119,60,REDGOAL,455.75604555316295,238.45929062157433,8,6.949999999999983
contain_sc1_var_l1_complex_l3_RIGHT,120,60,REDGOAL,451.97389136208494,351.2432748422358,4,3.2499999999999964
contain_sc1_var_l1_complex_l3_RIGHT,121,60,REDGOAL,459.6393231264351,295.0968045612457,15,14.700000000000074
contain_sc1_var_l1_complex_l3_RIGHT,122,60,REDGOAL,457.24187311080806,342.2483359450588,3,3.099999999999997
contain_sc1_var_l1_complex_l3_RIGHT,123,60,REDGOAL,453.34662961728634,259.0522900630914,12,11.300000000000026
contain_sc1_var_l1_complex_l3_RIGHT,124,60,REDGOAL,461.7136626247147,274.83452144800606,23,24.150000000000208
contain_sc1_var_l1_complex_l3_RIGHT,125,60,REDGOAL,459.10267281106405,336.5724081635148,5,3.2499999999999964
contain_sc1_var_l1_complex_l3_RIGHT,126,60,REDGOAL,453.24210488016234,359.6462696336714,2,1.5500000000000007
contain_sc1_var_l1_complex_l3_RIGHT,127,60,REDGOAL,450.38148358751766,246.7115886296134,23,21.050000000000164
